"X","date","period","elapsed","team","event_type","assist","player","shot_distance","original_x","original_y","shot_made","shot_zone"
217,"2/11/2019",1,"0:09:49","CLE","shot","Matthew Dellavedova","Kevin Love",24,-19.5833333333333,-39,1,"4 - Corner 3s"
229,"2/11/2019",2,"0:00:54","CLE","shot","Matthew Dellavedova","Jordan Clarkson",1,-0.166666666666667,-42.9166666666667,1,"1 - Within 4 ft"
244,"2/11/2019",2,"0:04:32","CLE","shot","Matthew Dellavedova","David Nwaba",24,-19.75,-41.8333333333333,1,"4 - Corner 3s"
302,"2/11/2019",3,"0:08:01","CLE","shot","Matthew Dellavedova","Collin Sexton",25,-13.5833333333333,-26.9166666666667,1,"5 - Short 3 (<27 ft)"
315,"2/11/2019",3,"0:11:18","CLE","shot","Matthew Dellavedova","Marquese Chriss",1,0.583333333333333,-42.4166666666667,1,"1 - Within 4 ft"
330,"2/11/2019",4,"0:02:41","CLE","shot","Matthew Dellavedova","David Nwaba",8,0.25,-35.6666666666667,1,"2 - Short 2 (4-14 ft)"
3345,"2019-03-02",4,"00:01:49","CLE","shot","Matthew Dellavedova","Jordan Clarkson",2,1.08333333333333,-41.0833333333333,1,"1 - Within 4 ft"
7689,"2019-03-06",1,"00:10:10","CLE","shot","Matthew Dellavedova","David Nwaba",23,-19.25,-41.9166666666667,1,"4 - Corner 3s"
7776,"2019-03-06",3,"00:09:49","CLE","shot","Matthew Dellavedova","David Nwaba",24,19.25,-37.9166666666667,1,"4 - Corner 3s"
7794,"2019-03-06",4,"00:03:14","CLE","shot","Matthew Dellavedova","Nik Stauskas",26,17.75,-30.75,1,"5 - Short 3 (<27 ft)"
10195,"2019-01-29",2,"00:03:53","CLE","shot","Matthew Dellavedova","Rodney Hood",25,11.5,-25.4166666666667,1,"5 - Short 3 (<27 ft)"
10284,"2019-01-29",4,"00:06:29","CLE","shot","Matthew Dellavedova","Ante Zizic",1,1,-42.5833333333333,1,"1 - Within 4 ft"
27460,"2019-02-25",1,"00:05:08","CLE","shot","Matthew Dellavedova","Kevin Love",22,4.58333333333333,-24.3333333333333,1,"3 - Long 2 (14+ ft)"
27462,"2019-02-25",1,"00:05:44","CLE","shot","Matthew Dellavedova","Jordan Clarkson",27,15.4166666666667,-26.0833333333333,1,"6 - Long 3s"
27467,"2019-02-25",1,"00:06:47","CLE","shot","Matthew Dellavedova","Jordan Clarkson",12,-8,-36.75,1,"2 - Short 2 (4-14 ft)"
27478,"2019-02-25",1,"00:11:05","CLE","shot","Matthew Dellavedova","Marquese Chriss",25,-8.75,-23.1666666666667,1,"5 - Short 3 (<27 ft)"
27567,"2019-02-25",4,"00:01:06","CLE","shot","Matthew Dellavedova","David Nwaba",0,-0.0833333333333333,-42.5833333333333,1,"1 - Within 4 ft"
31198,"1/9/2019",1,"0:07:23","CLE","shot","Matthew Dellavedova","Jordan Clarkson",4,-3.33333333333333,-42.1666666666667,1,"2 - Short 2 (4-14 ft)"
31209,"1/9/2019",1,"0:09:15","CLE","shot","Matthew Dellavedova","Ante Zizic",2,-1.5,-42,1,"1 - Within 4 ft"
31219,"1/9/2019",1,"0:11:29","CLE","shot","Matthew Dellavedova","Jordan Clarkson",23,-19.25,-41.8333333333333,1,"4 - Corner 3s"
31225,"1/9/2019",2,"0:00:42","CLE","shot","Matthew Dellavedova","Cameron Payne",10,-0.583333333333333,-34.25,1,"2 - Short 2 (4-14 ft)"
31233,"1/9/2019",2,"0:02:44","CLE","shot","Matthew Dellavedova","Ante Zizic",1,0.916666666666667,-42.5,1,"1 - Within 4 ft"
31235,"1/9/2019",2,"0:03:09","CLE","shot","Matthew Dellavedova","Jordan Clarkson",26,-12.75,-25.25,1,"5 - Short 3 (<27 ft)"
31310,"1/9/2019",4,"0:02:38","CLE","shot","Matthew Dellavedova","Cameron Payne",27,9.58333333333333,-22.5,1,"5 - Short 3 (<27 ft)"
32601,"2019-01-25",1,"00:09:06","CLE","shot","Matthew Dellavedova","Cedi Osman",26,-13.4166666666667,-25.5,1,"5 - Short 3 (<27 ft)"
32619,"2019-01-25",2,"00:01:40","CLE","shot","Matthew Dellavedova","Jordan Clarkson",1,-0.166666666666667,-43,1,"1 - Within 4 ft"
32623,"2019-01-25",2,"00:02:59","CLE","shot","Matthew Dellavedova","Deng Adel",17,-14,-39.9166666666667,1,"3 - Long 2 (14+ ft)"
32637,"2019-01-25",2,"00:07:28","CLE","shot","Matthew Dellavedova","Cedi Osman",10,-3,-35.1666666666667,1,"2 - Short 2 (4-14 ft)"
32697,"2019-01-25",4,"00:01:15","CLE","shot","Matthew Dellavedova","Larry Nance Jr.",2,1.41666666666667,-41.25,1,"1 - Within 4 ft"
48331,"2019-01-11",2,"00:03:00","CLE","shot","Matthew Dellavedova","Ante Zizic",3,0.25,-40.1666666666667,1,"1 - Within 4 ft"
48393,"2019-01-11",3,"00:08:28","CLE","shot","Matthew Dellavedova","Ante Zizic",11,-1.08333333333333,-33.0833333333333,1,"2 - Short 2 (4-14 ft)"
48417,"2019-01-11",4,"00:02:42","CLE","shot","Matthew Dellavedova","Jordan Clarkson",27,-13.0833333333333,-23.75,1,"6 - Long 3s"
48660,"2019-01-16",1,"00:09:40","CLE","shot","Matthew Dellavedova","Ante Zizic",2,1.16666666666667,-42,1,"1 - Within 4 ft"
48664,"2019-01-16",1,"00:11:00","CLE","shot","Matthew Dellavedova","Ante Zizic",2,0.416666666666667,-40.75,1,"1 - Within 4 ft"
