"id","first_name","last_name","team","position","age","exp","pos","avg_type","points","pos_rank","drop_off","sd_pts","floor","ceiling","tier","player","Week","Year","GID","Name","Pos","Team","h.a","Oppt","DK.points","DK.salary"
"4925","Drew","Brees","NOS","QB",42,19,"QB","average",18.14,37,3.466,NA,18.14,18.14,2,"Drew Brees","17","2020","1151","Brees, Drew","QB","nor","a","car","20.04","5900"
"5848","Tom","Brady","TBB","QB",44,20,"QB","average",181.534866666667,15,20.0463,175.842361760095,18.638,342.1364,1,"Tom Brady","17","2020","1131","Brady, Tom","QB","tam","h","atl","34.26","7200"
"6997","Jason","Witten","FA","TE",39,17,"TE","average",2.4,91,0.294166666666667,NA,2.4,2.4,3,"Jason Witten","17","2020","4262","Witten, Jason","TE","lvr","a","den","0","2500"
"7394","Philip","Rivers","FA","QB",40,16,"QB","average",16.14,38,3.05166666666667,12.3602265351408,0.0740000000000007,15.806,2,"Philip Rivers","17","2020","1231","Rivers, Philip","QB","ind","h","jac","11.36","6000"
"7813","Alex","Smith","WAS","QB",37,15,"QB","average",12.02,42,1.08866666666667,NA,12.02,12.02,3,"Alex Smith","17","2020","1254","Smith, Alex","QB","was","a","phi","12.48","0"
"7836","Aaron","Rodgers","GBP","QB",38,15,"QB","average",187.8593,12,4.91412499999998,177.815407340174,19.64512,352.5432,1,"Aaron Rodgers","17","2020","1252","Rodgers, Aaron","QB","gnb","a","chi","26","7400"
"8269","Marcedes","Lewis","GBP","TE",37,14,"TE","average",25.26275,61,0.153708333333331,27.8626785667973,2.59935,56.456,2,"Marcedes Lewis","17","2020","4324","Lewis, Marcedes","TE","gnb","a","chi","1.9","2500"
"8658","Adrian","Peterson","DET","RB",36,13,"RB","average",8.03,104,0.5425,NA,8.03,8.03,3,"Adrian Peterson","17","2020","2553","Peterson, Adrian","RB","det","h","min","12.3","4000"
"9073","Chad","Henne","KCC","QB",36,12,"QB","average",13.208,39,0.375666666666667,3.8487546037647,9.6376,16.546,2,"Chad Henne","17","2020","1309","Henne, Chad","QB","kan","h","lac","16.72","5100"
"9099","Matt","Ryan","ATL","QB",36,12,"QB","average",160.325633333333,18,2.38463333333334,153.424093952677,18.9696,304.4044,1,"Matt Ryan","17","2020","1301","Ryan, Matt","QB","atl","a","tam","23.7","5900"
"9308","Danny","Amendola","DET","WR",36,12,"WR","average",7.8,121,0.696,NA,7.8,7.8,3,"Danny Amendola","17","2020","3851","Amendola, Danny","WR","det","h","min","1.6","3900"
"9431","Matthew","Stafford","LAR","QB",33,11,"QB","average",156.2833,20,2.45024166666667,154.774671547098,11.708,299.2196,1,"Matthew Stafford","17","2020","1340","Stafford, Matthew","QB","det","h","min","23.62","5600"
"9474","Jared","Cook","NOS","TE",34,11,"TE","average",87.7805333333333,14,2.57823333333333,73.4791696550798,7.6008,153.69,1,"Jared Cook","17","2020","4437","Cook, Jared","TE","nor","a","car","14.3","4700"
