"Week","Year","GID","Name","Pos","Team","h.a","Oppt","DK.points","DK.salary"
"17","2020","1378","Newton, Cam","QB","nwe","h","nyj","38.48","5500"
"17","2020","1415","Cousins, Kirk","QB","min","a","det","37.3","6300"
"17","2020","1552","Herbert, Justin","QB","lac","a","kan","35.98","7100"
"17","2020","1131","Brady, Tom","QB","tam","h","atl","34.26","7200"
"17","2020","1518","Watson, Deshaun","QB","hou","h","ten","29.8","7700"
"17","2020","1410","Tannehill, Ryan","QB","ten","a","hou","28.44","7000"
"17","2020","1547","Lock, Drew","QB","den","h","lvr","27.26","5000"
"17","2020","1252","Rodgers, Aaron","QB","gnb","a","chi","26","7400"
"17","2020","1441","Carr, Derek","QB","lvr","a","den","25.94","5700"
"17","2020","1527","Jackson, Lamar","QB","bal","a","cin","25.22","8000"
"17","2020","1301","Ryan, Matt","QB","atl","a","tam","23.7","5900"
"17","2020","1340","Stafford, Matthew","QB","det","h","min","23.62","5600"
"17","2020","1526","Rudolph, Mason","QB","pit","a","cle","22.7","4300"
"17","2020","1551","Tagovailoa, Tua","QB","mia","a","buf","21.24","5100"
"17","2020","1529","Allen, Josh","QB","buf","h","mia","20.26","7600"
"17","2020","1151","Brees, Drew","QB","nor","a","car","20.04","5900"
"17","2020","1412","Wilson, Russell","QB","sea","a","sfo","18.14","7300"
"17","2020","1420","Glennon, Mike","QB","jac","a","ind","17.64","4900"
"17","2020","1554","Hurts, Jalen","QB","phi","h","was","17.28","0"
"17","2020","1539","Jones, Daniel","QB","nyg","h","dal","16.86","5100"
"17","2020","1309","Henne, Chad","QB","kan","h","lac","16.72","5100"
"17","2020","1528","Mayfield, Baker","QB","cle","h","pit","16.24","5500"
"17","2020","1520","Beathard, C.J.","QB","sfo","h","sea","14.92","5200"
"17","2020","1563","Wolford, John","QB","lar","h","ari","13.84","4900"
"17","2020","1403","Dalton, Andy","QB","dal","a","nyg","13.52","5600"
"17","2020","1524","Darnold, Sam","QB","nyj","a","nwe","12.94","4900"
"17","2020","1254","Smith, Alex","QB","was","a","phi","12.48","0"
"17","2020","1530","Hill, Taysom","QB","nor","a","car","11.6","5800"
"17","2020","1231","Rivers, Philip","QB","ind","h","jac","11.36","6000"
"17","2020","1519","Trubisky, Mitchell","QB","chi","h","gnb","11.28","5600"
"17","2020","1417","Barkley, Matt","QB","buf","h","mia","9.26","4800"
"17","2020","1553","Streveler, Chris","QB","ari","a","lar","8.4","4700"
"17","2020","1439","Bridgewater, Teddy","QB","car","h","nor","5.74","5300"
"17","2020","1537","Murray, Kyler","QB","ari","a","lar","3.78","7500"
"17","2020","1564","Stevens, Tommy","QB","car","h","nor","2.4",NA
"17","2020","1532","Dobbs, Joshua","QB","pit","a","cle","2.08","4000"
"17","2020","1562","Huntley, Tyler","QB","bal","a","cin","0.82","4900"
"17","2020","1558","Walker, P.J.","QB","car","h","nor","0.8","4600"
"17","2020","1467","McCarron, A.J.","QB","hou","h","ten","0.8","4800"
"17","2020","1507","Sudfeld, Nate","QB","phi","h","was","0.48","0"
"17","2020","1496","Brissett, Jacoby","QB","ind","h","jac","0.3","4100"
"17","2020","1504","Allen, Brandon","QB","cin","h","bal","0.12","5000"
"17","2020","1465","Winston, Jameis","QB","nor","a","car","-0.1","5200"
"17","2020","5820","Taylor, Jonathan","RB","ind","h","jac","41.4","7400"
"17","2020","5445","Henry, Derrick","RB","ten","a","hou","39","9400"
"17","2020","5821","Dobbins, J.K.","RB","bal","a","cin","31","6700"
"17","2020","5744","Thompson, Darwin","RB","kan","h","lac","30","4400"
"17","2020","5720","Mattison, Alexander","RB","min","a","det","29.5","6100"
"17","2020","5713","Montgomery, David","RB","chi","h","gnb","28.2","7700"
"17","2020","5703","Wilson Jr., Jeff","RB","sfo","h","sea","23.8","6000"
"17","2020","5615","Michel, Sony","RB","nwe","h","nyj","22.6","4600"
"17","2020","2991","Gordon, Melvin","RB","den","h","lvr","21","5700"
"17","2020","5395","Johnson, David","RB","hou","h","ten","21","6800"
"17","2020","5712","Jacobs, Josh","RB","lvr","a","den","20.9","6200"
"17","2020","5622","Chubb, Nick","RB","cle","h","pit","19.8","7600"
"17","2020","5543","Jones, Aaron","RB","gnb","a","chi","18.5","7100"
"17","2020","5789","Gaskin, Myles","RB","mia","a","buf","17.7","6500"
"17","2020","5575","Ekeler, Austin","RB","lac","a","kan","17.1","7500"
"17","2020","5608","Hill, Brian","RB","atl","a","tam","16.6","4200"
"17","2020","5822","Swift, D'Andre","RB","det","h","min","16","6300"
"17","2020","5444","Elliott, Ezekiel","RB","dal","a","nyg","15.1","6400"
"17","2020","5392","Montgomery, Ty","RB","nor","a","car","14.7","4000"
"17","2020","5661","Adams, Josh","RB","nyj","a","nwe","13.9","4000"
"17","2020","5617","Jones, Ronald","RB","tam","h","atl","13.8","5900"
"17","2020","5886","Ahmed, Salvon","RB","mia","a","buf","13.8","4400"
"17","2020","5682","Jackson, Justin","RB","lac","a","kan","13.4","4000"
"17","2020","2954","White, James","RB","nwe","h","nyj","13.1","4500"
"17","2020","5623","Hines, Nyheim","RB","ind","h","jac","12.7","4900"
"17","2020","2553","Peterson, Adrian","RB","det","h","min","12.3","4000"
"17","2020","5819","Akers, Cam","RB","lar","h","ari","11.6","6100"
"17","2020","5890","Smith, Rodney","RB","car","h","nor","11.4","4000"
"17","2020","5697","Ogunbowale, Dare","RB","jac","a","ind","11.2","4500"
"17","2020","5537","Conner, James","RB","pit","a","cle","11.2","6000"
"17","2020","5565","Carson, Chris","RB","sea","a","sfo","10.3","6200"
"17","2020","5624","Scott, Boston","RB","phi","h","was","9.9","0"
"17","2020","2995","Abdullah, Ameer","RB","min","a","det","9.7","4000"
"17","2020","5628","Ballage, Kalen","RB","lac","a","kan","9.6","4000"
"17","2020","5827","Gibson, Antonio","RB","was","a","phi","9.1","0"
"17","2020","5450","Collins, Alex","RB","sea","a","sfo","8.9","0"
"17","2020","5742","Johnson, Ty","RB","nyj","a","nwe","8.8","4300"
"17","2020","5888","Williams, Trayveon","RB","cin","h","bal","8.7","4000"
"17","2020","5446","Drake, Kenyan","RB","ari","a","lar","8.1","5400"
"17","2020","5903","Ward, Jonathan","RB","ari","a","lar","8.1","4000"
"17","2020","5681","Edwards, Gus","RB","bal","a","cin","8","4900"
"17","2020","2907","Riddick, Theo","RB","lvr","a","den","8","4000"
"17","2020","5586","McKissic, J.D.","RB","was","a","phi","8","0"
"17","2020","5547","Gallman, Wayne","RB","nyg","h","dal","6.5","5300"
"17","2020","5581","Ham, C.J.","RB","min","a","det","6.4","4000"
"17","2020","5718","Pollard, Tony","RB","dal","a","nyg","6.3","5900"
"17","2020","5560","Hunt, Kareem","RB","cle","h","pit","5.1","5900"
"17","2020","5538","Perine, Samaje","RB","cin","h","bal","5.1","4700"
"17","2020","5534","Fournette, Leonard","RB","tam","h","atl","4.7","5800"
"17","2020","2992","Gurley, Todd","RB","atl","a","tam","4.5","4700"
"17","2020","5619","Edmonds, Chase","RB","ari","a","lar","4.5","4600"
"17","2020","2793","Ingram, Mark","RB","bal","a","cin","3.9","4000"
"17","2020","5620","Freeman, Royce","RB","den","h","lvr","3.2","4000"
"17","2020","5824","Moss, Zack","RB","buf","h","mia","3.1","4600"
"17","2020","5662","Boone, Mike","RB","min","a","det","2.9","4000"
"17","2020","5441","Brown, Malcolm","RB","lar","h","ari","2.8","4300"
"17","2020","5658","Smith, Ito","RB","atl","a","tam","2.6","4300"
"17","2020","5541","Williams, Jamaal","RB","gnb","a","chi","2.6","4400"
"17","2020","5717","Singletary, Devin","RB","buf","h","mia","2.3","4500"
"17","2020","5719","Hill, Justice","RB","bal","a","cin","2.1","4000"
"17","2020","5618","Penny, Rashaad","RB","sea","a","sfo","1.9","4000"
"17","2020","5583","Clement, Corey","RB","phi","h","was","1.8","0"
"17","2020","5864","McFarland, Anthony","RB","pit","a","cle","1.7","4000"
"17","2020","2935","McKinnon, Jerick","RB","sfo","h","sea","1.6","4200"
"17","2020","5468","Booker, Devontae","RB","lvr","a","den","1.6","4000"
"17","2020","5851","Huntley, Jason","RB","phi","h","was","1.5","0"
"17","2020","5876","Nabers, Gabe","RB","lac","a","kan","1.5","4000"
"17","2020","2908","Juszczyk, Kyle","RB","sfo","h","sea","1.4","4000"
"17","2020","5901","Jones, Tony","RB","nor","a","car","1.3",NA
"17","2020","5708","Williams, Darrel","RB","kan","h","lac","1.2","4800"
"17","2020","2871","Morris, Alfred","RB","nyg","h","dal","1.2","4000"
"17","2020","5507","Barber, Peyton","RB","was","a","phi","1","0"
"17","2020","5740","Snell, Benny","RB","pit","a","cle","1","5100"
"17","2020","2889","Bernard, Giovani","RB","cin","h","bal","0.7","5400"
"17","2020","2816","Lewis, Dion","RB","nyg","h","dal","0.7","4000"
"17","2020","2822","Sherman, Anthony","RB","kan","h","lac","0.6","4000"
"17","2020","5825","Dillon, AJ","RB","gnb","a","chi","0.3","4900"
"17","2020","5881","Dowdle, Rico","RB","dal","a","nyg","0","4000"
"17","2020","5688","Samuels, Jaylen","RB","pit","a","cle","0","4000"
"17","2020","5887","Walter, Austin","RB","sfo","h","sea","0","4000"
"17","2020","5778","Johnson, Jakob","RB","nwe","h","nyj","0","4000"
