"team_code","name","checkname","team_name","team_id","games_played","games_started","uniform","year","code","shot_stats.penalty_kick_attempts","shot_stats.penalty_kick_goals","shot_stats.shots_on_goal","shot_stats.shots","shot_stats.points","shot_stats.assists","shot_stats.goals","shot_stats.penalty_shot_attempts","shot_stats.penalty_shot_goals","shot_stats.avg_shots_per_game","shot_stats.avg_sog_per_game","shot_stats.avg_points_per_game","shot_stats.avg_goals_per_game","shot_stats.avg_assists_per_game","goal_stats.game_tying","goal_stats.hattricks","goal_stats.overtime","goal_stats.first","goal_stats.unassisted","goal_stats.game_winning","goal_stats.avg_gw_per_game","caution_stats.fouls","caution_stats.red_cards","caution_stats.yellow_cards","caution_stats.avg_fouls_per_game","caution_stats.avg_yc_per_game","caution_stats.avg_rc_per_game","misc_stats.offsides","misc_stats.corner_kicks","misc_stats.minutes_played","misc_stats.defensive_saves","misc_stats.avg_corners_per_game","misc_stats.avg_offsides_per_game","goalie_stats.shots_faced","goalie_stats.ties","goalie_stats.losses","goalie_stats.wins","goalie_stats.shutouts","goalie_stats.save_percentage","goalie_stats.goals_against_avg","goalie_stats.saves","goalie_stats.goals_allowed","goalie_stats.minutes","goalie_stats.games_started","goalie_stats.games_played","goalie_stats.avg_ga_per_game","goalie_stats.avg_sho_per_game","goalie_stats.avg_saves_per_game"
"5","Amato, Ashley","AMATO,ASHLEY","Akron","AKR","19","19","8","0","8",0,0,13,23,10,0,5,3,3,1.21,.68,.53,.263,.000,1,0,0,4,4,0,.000,8,0,1,.42,.05,.00,0,NA,1772:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Alfery, Annamarie","ALFERY,ANNAMARIE","Akron","AKR","20","8","15","0","15",0,0,2,8,1,1,0,0,0,.40,.10,.05,.000,.050,0,0,0,0,0,0,.000,7,0,1,.35,.05,.00,0,NA,931:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Kale, Charley","KALE,CHARLEY","Akron","AKR","20","18","6","0","6",0,0,5,14,2,0,1,0,0,.70,.25,.10,.050,.000,1,0,0,0,0,0,.000,24,0,2,1.20,.10,.00,0,NA,1620:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Brown, Abigail","BROWN,ABIGAIL","Akron","AKR","18","9","5","0","5",0,0,2,5,3,1,1,0,0,.28,.11,.17,.056,.056,1,0,0,0,0,0,.000,1,0,1,.06,.06,.00,0,NA,977:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Lambert, Lauren","LAMBERT,LAUREN","Akron","AKR","0","0","2","0","2",0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,.000,0,0,0,.00,.00,.00,0,NA,00:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Watt, Ryley","WATT,RYLEY","Akron","AKR","20","20","23","0","23",0,0,0,4,2,2,0,0,0,.20,.00,.10,.000,.100,0,0,0,0,0,0,.000,6,0,1,.30,.05,.00,0,NA,1859:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Clere, Hailey ","CLERE,HAILEY ","Akron","AKR","16","6","16","0","16",0,0,1,7,2,2,0,0,0,.44,.06,.13,.000,.125,0,0,0,0,0,0,.000,14,0,3,.88,.19,.00,0,NA,669:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Kolano, Lexi ","KOLANO,LEXI ","Akron","AKR","0","0","24","0","24",0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,.000,0,0,0,.00,.00,.00,0,NA,00:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Penton, Kayleigh","PENTON,KAYLEIGH","Akron","AKR","20","20","4","0","4",0,0,2,11,4,2,1,0,0,.55,.10,.20,.050,.100,0,0,0,0,0,0,.000,8,0,0,.40,.00,.00,0,NA,1805:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Worthy, Sydney ","WORTHY,SYDNEY ","Akron","AKR","20","11","9","0","9",0,0,9,16,7,1,3,0,0,.80,.45,.35,.150,.050,0,0,0,2,0,2,.100,6,0,0,.30,.00,.00,0,NA,1102:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
