"team_code","name","checkname","team_name","team_id","games_played","games_started","uniform","year","code","shot_stats.penalty_kick_attempts","shot_stats.penalty_kick_goals","shot_stats.shots_on_goal","shot_stats.shots","shot_stats.points","shot_stats.assists","shot_stats.goals","shot_stats.penalty_shot_attempts","shot_stats.penalty_shot_goals","shot_stats.avg_shots_per_game","shot_stats.avg_sog_per_game","shot_stats.avg_points_per_game","shot_stats.avg_goals_per_game","shot_stats.avg_assists_per_game","goal_stats.game_tying","goal_stats.hattricks","goal_stats.overtime","goal_stats.first","goal_stats.unassisted","goal_stats.game_winning","goal_stats.avg_gw_per_game","caution_stats.fouls","caution_stats.red_cards","caution_stats.yellow_cards","caution_stats.avg_fouls_per_game","caution_stats.avg_yc_per_game","caution_stats.avg_rc_per_game","misc_stats.offsides","misc_stats.corner_kicks","misc_stats.minutes_played","misc_stats.defensive_saves","misc_stats.avg_corners_per_game","misc_stats.avg_offsides_per_game","goalie_stats.shots_faced","goalie_stats.ties","goalie_stats.losses","goalie_stats.wins","goalie_stats.shutouts","goalie_stats.save_percentage","goalie_stats.goals_against_avg","goalie_stats.saves","goalie_stats.goals_allowed","goalie_stats.minutes","goalie_stats.games_started","goalie_stats.games_played","goalie_stats.avg_ga_per_game","goalie_stats.avg_sho_per_game","goalie_stats.avg_saves_per_game"
"86","Bykowicz,Sarah","BYKOWICZ,SARAH","Buffalo","BUF","2","0","0","0","0",0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,.000,0,0,0,.00,.00,.00,0,NA,31:00,0,.00,.00,1,0,0,0,0,0.0,.000,0,0,30:09,0,2,.00,.000,.00
"86","Kelly,Emily","KELLY,EMILY","Buffalo","BUF","20","20","1","0","1",0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,.000,0,0,0,.00,.00,.00,0,NA,1870:00,0,.00,.00,219,3,7,9,2,.798,1.059,87,22,1869:04,16,20,1.10,.100,4.35
"86","VanCuyck,Adrianna","VANCUYCK,ADRIANNA","Buffalo","BUF","20","20","2","0","2",0,0,9,22,6,4,1,0,0,1.10,.45,.30,.050,.200,0,0,0,0,0,0,.000,6,0,0,.30,.00,.00,0,NA,1693:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Chiarenza,Alexa","CHIARENZA,ALEXA","Buffalo","BUF","1","0","3","0","3",0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,.000,0,0,0,.00,.00,.00,0,NA,05:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Walsh,Kaitlyn","WALSH,KAITLYN","Buffalo","BUF","20","16","4","0","4",0,0,15,23,10,2,4,0,0,1.15,.75,.50,.200,.100,1,0,1,1,0,2,.100,6,0,2,.30,.10,.00,0,NA,1089:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Jandu,Gurjeena","JANDU,GURJEENA","Buffalo","BUF","18","18","5","0","5",0,0,11,13,5,3,1,1,1,.72,.61,.28,.056,.167,0,0,0,1,1,0,.000,10,0,3,.56,.17,.00,0,NA,1622:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Bowers,Riley","BOWERS,RILEY","Buffalo","BUF","15","1","7","0","7",0,0,3,7,0,0,0,0,0,.47,.20,.00,.000,.000,0,0,0,0,0,0,.000,4,0,0,.27,.00,.00,0,NA,405:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Wengender,Leah","WENGENDER,LEAH","Buffalo","BUF","20","5","8","0","8",0,0,14,27,7,3,2,0,0,1.35,.70,.35,.100,.150,0,0,0,0,1,0,.000,9,0,0,.45,.00,.00,0,NA,967:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Yurchak,Gianna","YURCHAK,GIANNA","Buffalo","BUF","19","3","9","0","9",0,0,6,12,6,2,2,1,1,.63,.32,.32,.105,.105,1,0,0,0,1,0,.000,4,0,1,.21,.05,.00,0,NA,594:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86","Daly,Kara","DALY,KARA","Buffalo","BUF","20","20","10","0","10",0,0,11,16,10,2,4,0,0,.80,.55,.50,.200,.100,0,0,0,2,3,1,.050,3,0,0,.15,.00,.00,0,NA,1138:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
