"team_code","name","checkname","team_name","team_id","games_played","games_started","uniform","year","code","shot_stats.penalty_kick_attempts","shot_stats.penalty_kick_goals","shot_stats.shots_on_goal","shot_stats.shots","shot_stats.points","shot_stats.assists","shot_stats.goals","shot_stats.penalty_shot_attempts","shot_stats.penalty_shot_goals","shot_stats.avg_shots_per_game","shot_stats.avg_sog_per_game","shot_stats.avg_points_per_game","shot_stats.avg_goals_per_game","shot_stats.avg_assists_per_game","goal_stats.game_tying","goal_stats.hattricks","goal_stats.overtime","goal_stats.first","goal_stats.unassisted","goal_stats.game_winning","goal_stats.avg_gw_per_game","caution_stats.fouls","caution_stats.red_cards","caution_stats.yellow_cards","caution_stats.avg_fouls_per_game","caution_stats.avg_yc_per_game","caution_stats.avg_rc_per_game","misc_stats.offsides","misc_stats.corner_kicks","misc_stats.minutes_played","misc_stats.defensive_saves","misc_stats.avg_corners_per_game","misc_stats.avg_offsides_per_game","goalie_stats.shots_faced","goalie_stats.ties","goalie_stats.losses","goalie_stats.wins","goalie_stats.shutouts","goalie_stats.save_percentage","goalie_stats.goals_against_avg","goalie_stats.saves","goalie_stats.goals_allowed","goalie_stats.minutes","goalie_stats.games_started","goalie_stats.games_played","goalie_stats.avg_ga_per_game","goalie_stats.avg_sho_per_game","goalie_stats.avg_saves_per_game"
"129","Wallbridge, Brianna","WALLBRIDGE,BRIANNA","Central Michigan","CMU","0","0","1","0","1",0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,.000,0,0,0,.00,.00,.00,0,NA,00:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Bringard, Marle","BRINGARD,MARLE","Central Michigan","CMU","17","17","6","0","6",0,0,15,49,14,2,6,0,0,2.88,.88,.82,.353,.118,0,0,1,4,1,4,.235,10,0,0,.59,.00,.00,0,NA,1611:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Viazanko, Ally","VIAZANKO,ALLY","Central Michigan","CMU","12","7","28","0","28",0,0,0,1,0,0,0,0,0,.08,.00,.00,.000,.000,0,0,0,0,0,0,.000,0,0,0,.00,.00,.00,0,NA,819:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Belsito, Natalie","BELSITO,NATALIE","Central Michigan","CMU","17","17","22","0","22",0,0,3,6,0,0,0,0,0,.35,.18,.00,.000,.000,0,0,0,0,0,0,.000,5,0,0,.29,.00,.00,0,NA,1655:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Brough, Devyn","BROUGH,DEVYN","Central Michigan","CMU","6","0","27","0","27",0,0,2,4,2,0,1,1,1,.67,.33,.33,.167,.000,0,0,0,1,1,0,.000,0,0,0,.00,.00,.00,0,NA,102:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Magnan, Sheila","MAGNAN,SHEILA","Central Michigan","CMU","16","13","9","0","9",0,0,4,9,0,0,0,0,0,.56,.25,.00,.000,.000,0,0,0,0,0,0,.000,10,0,1,.63,.06,.00,0,NA,1094:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Mann, Riley","MANN,RILEY","Central Michigan","CMU","15","8","17","0","17",0,0,6,14,2,0,1,0,0,.93,.40,.13,.067,.000,0,0,0,1,0,0,.000,8,0,1,.53,.07,.00,0,NA,838:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Mitchell, Sarah","MITCHELL,SARAH","Central Michigan","CMU","0","0","4","0","4",0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,.000,0,0,0,.00,.00,.00,0,NA,00:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Rose, Ashley ","ROSE,ASHLEY ","Central Michigan","CMU","0","0","34","0","34",0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,.000,0,0,0,.00,.00,.00,0,NA,00:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129","Hebert, Alex","HEBERT,ALEX","Central Michigan","CMU","8","2","5","0","5",0,0,0,2,1,1,0,0,0,.25,.00,.13,.000,.125,0,0,0,0,0,0,.000,0,0,0,.00,.00,.00,0,NA,373:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
