"team_code","name","checkname","team_name","team_id","games_played","games_started","uniform","year","code","shot_stats.penalty_kick_attempts","shot_stats.penalty_kick_goals","shot_stats.shots_on_goal","shot_stats.shots","shot_stats.points","shot_stats.assists","shot_stats.goals","shot_stats.penalty_shot_attempts","shot_stats.penalty_shot_goals","shot_stats.avg_shots_per_game","shot_stats.avg_sog_per_game","shot_stats.avg_points_per_game","shot_stats.avg_goals_per_game","shot_stats.avg_assists_per_game","goal_stats.game_tying","goal_stats.hattricks","goal_stats.overtime","goal_stats.first","goal_stats.unassisted","goal_stats.game_winning","goal_stats.avg_gw_per_game","caution_stats.fouls","caution_stats.red_cards","caution_stats.yellow_cards","caution_stats.avg_fouls_per_game","caution_stats.avg_yc_per_game","caution_stats.avg_rc_per_game","misc_stats.offsides","misc_stats.corner_kicks","misc_stats.minutes_played","misc_stats.defensive_saves","misc_stats.avg_corners_per_game","misc_stats.avg_offsides_per_game","goalie_stats.shots_faced","goalie_stats.ties","goalie_stats.losses","goalie_stats.wins","goalie_stats.shutouts","goalie_stats.save_percentage","goalie_stats.goals_against_avg","goalie_stats.saves","goalie_stats.goals_allowed","goalie_stats.minutes","goalie_stats.games_started","goalie_stats.games_played","goalie_stats.avg_ga_per_game","goalie_stats.avg_sho_per_game","goalie_stats.avg_saves_per_game"
"709","Fowler, Josie","FOWLER,JOSIE","Toledo","TOL","18","0","20","0","20",0,0,1,2,2,0,1,0,0,.11,.06,.11,.056,.000,0,0,0,0,0,0,.000,8,0,1,.44,.06,.00,0,NA,506:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"709","Topolewski, Rachelle","TOPOLEWSKI,RACHELLE","Toledo","TOL","19","19","12","0","12",0,0,0,1,0,0,0,0,0,.05,.00,.00,.000,.000,0,0,0,0,0,0,.000,9,0,0,.47,.00,.00,0,NA,1637:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"709","Young, Olivia","YOUNG,OLIVIA","Toledo","TOL","11","1","21","0","21",0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,.000,2,0,0,.18,.00,.00,0,NA,132:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"709","Bufe, Sheridan","BUFE,SHERIDAN","Toledo","TOL","18","18","9","0","9",0,0,5,7,5,1,2,0,0,.39,.28,.28,.111,.056,0,0,0,1,0,0,.000,10,0,2,.56,.11,.00,0,NA,1414:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"709","Troy, Alex","TROY,ALEX","Toledo","TOL","15","13","23","0","23",0,0,10,19,2,2,0,0,0,1.27,.67,.13,.000,.133,0,0,0,0,0,0,.000,15,0,1,1.00,.07,.00,0,NA,921:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"709","Demboski, Abby","DEMBOSKI,ABBY","Toledo","TOL","19","12","25","0","25",0,0,3,6,7,1,3,2,2,.32,.16,.37,.158,.053,1,0,0,0,2,0,.000,8,0,1,.42,.05,.00,0,NA,1077:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"709","Perrin, Madison","PERRIN,MADISON","Toledo","TOL","9","9","0","0","0",0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,.000,0,0,0,.00,.00,.00,0,NA,810:00,0,.00,.00,106,0,5,3,1,.688,2.222,44,20,810:00,8,9,2.22,.111,4.89
"709","Cahalan, Claire","CAHALAN,CLAIRE","Toledo","TOL","19","16","13","0","13",0,0,3,8,0,0,0,0,0,.42,.16,.00,.000,.000,0,0,0,0,0,0,.000,18,0,1,.95,.05,.00,0,NA,1207:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"709","Coelho, Grace","COELHO,GRACE","Toledo","TOL","0","0","7","0","7",0,0,0,0,0,0,0,0,0,.00,.00,.00,.000,.000,0,0,0,0,0,0,.000,0,0,0,.00,.00,.00,0,NA,00:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"709","Lewis, Sophia","LEWIS,SOPHIA","Toledo","TOL","16","12","28","0","28",0,0,10,23,6,6,0,0,0,1.44,.63,.38,.000,.375,0,0,0,0,0,0,.000,12,0,2,.75,.13,.00,0,NA,881:00,0,.00,.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
